time,EngineState,MotorSpeed,Bat,Ie,Power,MotorTemp,InvTemp,PCodeActive,EthtDeg,Enc485Pos,Enc6825Pos,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
7-5_15:40:15.7332741,3,1826,139.56,12.0938,1.6865,28.02,250,0,179,0,65535,0,0,0,0,0,0,0,0,106.67,35.77,10.6406,12.1172,66,-1,-179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:15.9885449,3,1787,139.52,12.2891,1.6973,28.02,250,0,357,0,65535,0,0,0,0,0,0,0,0,107.62,35.95,13.2578,15.0859,67,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:16.2729235,3,1746,138.84,12.1875,1.6992,28.05,250,0,105,0,65535,0,0,0,0,0,0,0,0,108.23,36.03,13.7422,15.7969,67,-7,-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:16.5422047,3,1780,139.61,12.5,1.7402,28.07,250,0,283,0,65535,0,0,0,0,0,0,0,0,109.12,35.3,13.7578,15.5625,67,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:16.8105264,3,1781,139.47,12.4766,1.7354,28.1,250,0,320,0,65535,0,0,0,0,0,0,0,0,109.59,35.86,12.4297,15.6328,67,-1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:17.0778269,3,1821,139.03,12.8516,1.7881,28.13,250,0,84,0,65535,0,0,0,0,0,0,0,0,110.42,36.39,11.3672,13.7578,67,-8,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:17.3481197,3,1808,139.66,13.2422,1.8545,28.14,250,0,244,0,65535,0,0,0,0,0,0,0,0,111.03,36.73,12.8203,14.9844,68,1,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:17.6013825,3,1771,139.56,13.1875,1.8506,28.16,250,0,273,0,65535,0,0,0,0,0,0,0,0,111.44,37.44,13.6797,15.5938,68,2,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:17.8866117,3,1752,138.89,13.4453,1.834,28.2,250,0,44,0,65535,0,0,0,0,0,0,0,0,112,35.33,14.375,17.7422,68,0,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:18.1546825,3,1789,139.08,13.3438,1.876,28.21,250,0,131,0,65535,0,0,0,0,0,0,0,0,112.33,36.34,13.3281,15.5938,68,4,-131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:18.4249565,3,1818,139.61,13.75,1.9482,28.21,250,0,194,0,65535,0,0,0,0,0,0,0,0,112.94,36.47,11.8516,14.9531,68,5,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:18.7083094,3,1813,139.47,14.1641,1.9727,28.23,250,0,344,0,65535,0,0,0,0,0,0,0,0,113.48,35.66,13.7422,15.875,68,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:18.9797444,3,1747,138.73,14.3359,1.9443,28.25,250,0,93,0,65535,0,0,0,0,0,0,0,0,113.8,35.02,14.1719,19.0703,69,0,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:19.2629881,3,1802,139.56,14.3516,1.9805,28.27,250,0,239,0,65535,0,0,0,0,0,0,0,0,114.23,36.09,14.6719,17.6328,69,3,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:19.5183589,3,1792,139.52,14.375,2.0215,28.3,250,0,315,0,65535,0,0,0,0,0,0,0,0,114.67,36.7,14.2734,16.5625,69,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:19.8045529,3,1821,139.08,14.5,2.041,28.35,250,0,61,0,65535,0,0,0,0,0,0,0,0,115.33,36.98,13.5391,16.2734,69,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:20.0728244,3,1798,139.66,14.4531,2.0166,28.38,250,0,207,0,65535,0,0,0,0,0,0,0,0,115.89,35.72,14.1094,16.5547,69,3,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:20.3420961,3,1783,139.56,14.6016,2.0488,28.38,250,0,289,0,65535,0,0,0,0,0,0,0,0,116.56,33.41,13.7422,20.2656,69,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:20.6134169,3,1806,139.27,14.4688,2.0391,28.39,250,0,12,0,65535,0,0,0,0,0,0,0,0,116.58,35.12,15.4844,16.875,69,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:20.8816538,3,1798,138.89,14.8984,2.0928,28.43,250,0,65,0,65535,0,0,0,0,0,0,0,0,117.22,35.58,15.2109,17.5234,69,-4,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:21.1656881,3,1793,139.42,15.4219,2.1445,28.45,250,0,180,0,65535,0,0,0,0,0,0,0,0,117.55,35.95,16.5469,17.0078,69,3,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:21.4199326,3,1787,139.56,15.5078,2.1953,28.45,250,0,271,0,65535,0,0,0,0,0,0,0,0,118.34,34,14.4297,17.9688,69,5,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:21.7051653,3,1820,139.08,15.0781,2.0908,28.52,250,0,19,0,65535,0,0,0,0,0,0,0,0,119.11,33.88,13.9531,16.2188,69,-1,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:21.9754398,3,1774,138.84,15.6875,2.1475,28.53,250,0,122,0,65535,0,0,0,0,0,0,0,0,119.81,34.27,13.8672,20.0156,69,-2,-122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:22.2606777,3,1811,139.61,15.0078,2.1143,28.55,250,0,206,0,65535,0,0,0,0,0,0,0,0,120.38,34.14,14.2578,17.3438,69,3,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
