time,EngineState,MotorSpeed,Bat,Ie,Power,MotorTemp,InvTemp,PCodeActive,EthtDeg,Enc485Pos,Enc6825Pos,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
7-5_15:45:37.0450215,3,3004,139.66,0.9766,0.1318,28.3,250,0,334,0,65535,0,0,0,0,0,0,0,0,135,60.52,0.8281,1.6641,44,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:37.3162872,3,2999,139.66,0.9531,0.1328,28.33,250,0,240,0,65535,0,0,0,0,0,0,0,0,135.33,58.95,1.1406,1.7734,44,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:37.6014768,3,2998,139.61,0.9609,0.1338,28.32,250,0,349,0,65535,0,0,0,0,0,0,0,0,135.59,59.64,0.8906,1.8672,44,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:37.8735182,3,3002,139.66,0.9922,0.1357,28.3,250,0,258,0,65535,0,0,0,0,0,0,0,0,135.78,61.05,1.0859,1.5312,44,-6,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:38.1595454,3,2999,139.66,0.9609,0.1357,28.27,250,0,13,0,65535,0,0,0,0,0,0,0,0,135.89,58.55,1.125,1.7891,44,-6,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:38.4298232,3,2995,139.61,1,0.1338,28.28,250,0,331,0,65535,0,0,0,0,0,0,0,0,135.98,59.25,1.0234,1.4219,44,-3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:38.7140320,3,3000,139.56,0.9766,0.1357,28.3,250,0,29,0,65535,0,0,0,0,0,0,0,0,136.02,61.33,0.8906,1.3984,44,-6,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:38.9858237,3,2998,139.61,0.9922,0.1357,28.32,250,0,150,0,65535,0,0,0,0,0,0,0,0,136.09,59.17,0.9766,1.6328,44,-6,-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:39.2698870,3,3000,139.61,0.9766,0.1357,28.28,250,0,60,0,65535,0,0,0,0,0,0,0,0,136.12,60.95,1.0703,1.1562,44,-9,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:39.5420692,3,2999,139.56,0.9766,0.1357,28.33,250,0,13,0,65535,0,0,0,0,0,0,0,0,136.12,55.22,1.0859,1.2969,44,-9,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:39.8250235,3,2999,139.61,1,0.1357,28.28,250,0,80,0,65535,0,0,0,0,0,0,0,0,136.19,57.88,1.1406,1.9609,44,-9,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:40.0960616,3,3001,139.61,0.9922,0.1377,28.23,250,0,350,0,65535,0,0,0,0,0,0,0,0,136.2,60.12,0.8281,1.0781,44,-4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:40.3633436,3,2997,139.66,1.0156,0.1377,28.28,250,0,158,0,65535,0,0,0,0,0,0,0,0,136.27,61.19,0.875,1.7812,44,-4,-158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:40.6466196,3,2992,139.56,1.0781,0.1387,28.29,250,0,82,0,65535,0,0,0,0,0,0,0,0,136.38,57.41,1.4531,1.5859,44,-2,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:45:40.9005088,3,3002,139.61,1.25,0.1689,28.28,250,0,57,0,65535,0,0,0,0,0,0,0,0,136.59,59.33,1.1562,1.3984,44,-3,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
