time,EngineState,MotorSpeed,Bus_U,Is,Bus_I,BUS_P,MotorTemp,InvTemp,PCodeActive,EthtDeg,EncPos,Enc485Err,IqFbk,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
9-24_15:59:34.2895812,4,0,144.94,0.0391,0,0,27.49,250,0,0,1240,0,0.02359,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_15:59:34.8916578,4,0,144.98,0.0312,0,0,27.51,250,0,0,1248,0,0.02284,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_15:59:34.8916578,4,0,144.98,0.0312,0,0,27.51,250,0,0,800,0,0.02199,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_15:59:35.1110702,4,0,144.98,0.0469,0,0,27.52,250,0,0,1032,0,0.02132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_15:59:35.3793536,2,164,144.59,7.3828,1,0.1455,27.52,250,0,183,10736,0,0.03654,0,0,0,0,0,0,1,0,7.81,7.12,12.1562,15.8984,56,7,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_15:59:35.6496008,2,332,145.58,10.4609,1.8594,0.2695,27.51,250,0,308,53920,0,0.05292,0,0,0,0,0,0,1,0,15.16,8.22,12.6719,14.4141,75,17,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_15:59:35.9189133,2,496,143.25,11.7031,2.6562,0.3809,27.54,250,0,108,6840,0,0.06799,0,0,0,0,0,0,1,0,22.91,8.5,11.4453,23.0391,75,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_15:59:36.1896917,2,651,143.95,12.0938,3.6328,0.5293,27.58,250,0,156,11336,0,0.08173,0,0,0,0,0,0,1,0,31,9.03,11.3906,26.5859,75,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_15:59:36.4570060,2,815,143.8,12.1328,4.5,0.6553,27.65,250,0,24,30224,0,0.09607,0,0,0,0,0,0,1,0,39.55,9.06,13.4844,23.9609,75,52,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_15:59:36.7273026,3,1016,144.59,10.3516,4.8125,0.6963,27.74,250,0,197,52512,0,0.10606,0,0,0,0,0,0,1,0,47.8,11.92,6.5859,24.4531,72,62,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
