time,EngineState,MotorSpeed,Bat,Ie,Power,MotorTemp,InvTemp,PCodeActive,EthtDeg,Enc485Pos,Enc6825Pos,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
7-5_16:53:20.0770739,3,1798,148.62,0.8594,0.125,33.42,250,0,282,0,65535,0,0,0,0,1024,1,0,0,84.59,34.92,0.8203,2.3516,57,46,-14,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:53:20.3463550,3,1797,148.58,0.8594,0.127,33.42,250,0,300,0,65535,0,0,0,0,1024,1,0,0,84.58,34.66,1.0391,2.1641,57,46,-8,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:53:20.6007396,3,1797,148.62,0.8203,0.125,33.44,250,0,345,0,65535,0,0,0,0,1024,1,0,0,84.59,35.12,0.7109,2.0859,57,46,-10,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:53:20.8846454,3,1801,148.58,0.8984,0.1279,33.44,250,0,55,0,65535,0,0,0,0,1024,1,0,0,84.59,34.86,0.7969,1.6484,57,46,-13,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:53:21.1385570,3,1797,148.58,0.875,0.127,33.43,250,0,101,0,65535,0,0,0,0,1024,1,0,0,84.59,34.94,0.6953,2.4766,57,46,-10,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:53:21.4218391,3,1796,148.67,0.8672,0.1279,33.44,250,0,168,0,65535,0,0,0,0,1024,1,0,0,84.61,35.31,0.7031,2.5234,57,46,-14,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:53:21.6950022,3,1800,148.67,0.8594,0.124,33.44,250,0,235,0,65535,0,0,0,0,1024,1,0,0,84.59,34.59,0.8516,2.2734,57,45,-12,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:53:21.9482930,3,1801,148.62,0.8438,0.127,33.45,250,0,280,0,65535,0,0,0,0,1024,1,0,0,84.59,35.27,0.7344,2.3906,57,45,-9,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:53:22.2313713,3,1803,148.62,0.8359,0.1211,33.47,250,0,346,0,65535,0,0,0,0,1024,1,0,0,84.61,34.94,0.7578,2.0703,57,45,-10,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:53:22.5005802,3,1800,148.67,0.8984,0.1299,33.46,250,0,80,0,65535,0,0,0,0,1024,1,0,0,84.62,35.52,0.9297,2.4766,57,46,-10,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
