time,EngineState,MotorSpeed,Bus_U,Is,Bus_I,BUS_P,MotorTemp,InvTemp,PCodeActive,EthtDeg,EncPos,Enc485Err,IqFbk,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
9-24_14:37:16.0815533,3,1799,143.02,7.1719,6.5938,0.9404,36.25,250,0,330,35207,0,0.19331,0,0,0,0,0,0,0,0,108.53,36.27,7.1562,11.6875,70,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:37:16.3677547,3,1796,142.08,7.25,6.625,0.9512,36.52,250,0,60,60023,0,0.19672,0,0,0,0,0,0,0,0,108.56,36.2,7.3438,11,70,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:37:16.6380630,3,1793,142.27,7.3906,6.7031,0.9531,36.77,250,0,158,18512,0,0.20013,0,0,0,0,0,0,0,0,108.66,36.16,7.8047,12.0312,70,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:37:16.9222733,3,1786,143.55,7.5703,6.8281,0.9727,37.02,250,0,286,6543,0,0.2038,0,0,0,0,0,0,0,0,108.81,36.77,8.6094,11.2031,71,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:37:17.1915858,3,1796,142.38,7.6641,6.9141,0.9873,37.27,250,0,14,30927,0,0.20731,0,0,0,0,0,0,0,0,109.02,36.86,7.3359,11.4453,71,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:37:17.4568763,3,1798,141.83,7.7266,7.0078,1.0049,37.47,250,0,81,24871,0,0.21074,0,0,0,0,0,0,0,0,109.22,37.12,7.3438,10.7734,71,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:37:17.7281184,3,1796,142.47,7.6328,7.0078,0.9951,37.7,250,0,176,16696,0,0.21405,0,0,0,0,0,0,0,0,109.3,36.67,7.8438,11.6094,71,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:37:18.0143529,3,1801,143.31,7.5859,6.9844,0.9932,37.92,250,0,247,43152,0,0.21703,0,0,0,0,0,0,0,0,109.3,36.5,7.2422,11.4766,71,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:37:18.2856278,3,1791,143.45,7.5156,6.9297,0.9844,38.16,250,0,295,38768,0,0.21965,0,0,0,0,0,0,0,0,109.2,36.88,8.1406,11.1484,71,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:37:18.5709172,3,1790,142.03,7.4531,6.8828,0.9863,38.38,250,0,60,59687,0,0.2225,0,0,0,0,0,0,0,0,109.19,36.2,7.7344,11.5391,70,76,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
