time,EngineState,MotorSpeed,Bus_U,Is,Bus_I,BUS_P,MotorTemp,InvTemp,PCodeActive,EthtDeg,EncPos,Enc485Err,IqFbk,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
9-24_14:12:00.0440618,4,0,142.67,0.0078,0,0,28.29,250,0,0,984,0,9E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:00.3298801,4,0,142.67,0,0,0,28.3,250,0,0,984,0,9E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:00.6111319,4,0,142.72,0.0078,0,0,28.29,250,0,0,984,0,9E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:00.8813752,4,0,142.67,0,0,0,28.3,250,0,0,984,0,9E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:01.1656456,4,0,142.72,0,0,0,28.31,250,0,0,984,0,8E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:01.4369193,4,0,142.61,0.0078,0,0,28.34,250,0,0,976,0,8E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:01.7052017,4,0,142.67,0.0078,0,0,28.3,250,0,0,1000,0,8E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:01.9744901,4,0,142.72,0.0078,0,0,28.29,250,0,0,1024,0,8E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:02.2437655,4,0,142.86,0.0078,0,0,28.3,250,0,0,1040,0,6E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:02.5130133,4,0,142.67,0.0078,0,0,28.31,250,0,0,1032,0,6E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:02.7829698,4,0,142.72,0.0078,0,0,28.33,250,0,0,1048,0,6E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:03.0681675,4,0,142.72,0.0078,0,0,28.33,250,0,0,1056,0,6E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:03.3364814,4,0,142.67,0.0078,0,0,28.33,250,0,0,1056,0,5E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:03.6077645,4,0,142.67,0.0078,0,0,28.34,250,0,0,1056,0,5E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:03.8770281,4,0,142.67,0.0078,0,0,28.34,250,0,0,1056,0,5E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:04.1453278,4,0,142.67,0.0078,0,0,28.33,250,0,0,1056,0,5E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:04.4272740,2,32,143.11,1.0703,0.1016,0.0146,28.33,250,0,338,10599,0,0.00249,0,0,0,0,0,0,0,0,1.42,0.72,11.125,15.6875,9,1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:04.6805938,2,192,142.95,8.0156,1.1094,0.1572,28.33,250,0,343,9144,0,0.01892,0,0,0,0,0,0,0,0,8.88,7.27,13,15.2734,61,6,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:12:04.9668290,2,356,142.91,10.7031,1.9688,0.2793,28.33,250,0,345,41880,0,0.03543,0,0,0,0,0,0,0,0,15.91,8.06,12.0938,15.4453,75,14,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
