time,EngineState,MotorSpeed,Bus_U,Is,Bus_I,BUS_P,MotorTemp,InvTemp,PCodeActive,EthtDeg,EncPos,Enc485Err,IqFbk,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
9-24_13:54:21.1413232,4,0,142.72,0,0,0,28.34,250,0,0,17904,0,0.08383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:21.4106076,4,0,142.72,0,0,0,28.36,250,0,0,17904,0,0.08086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:21.6958473,4,0,142.72,0,0,0,28.35,250,0,0,17904,0,0.07808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:21.9481398,4,0,142.67,0,0,0,28.34,250,0,0,17904,0,0.07547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:22.2174502,4,0,142.72,0,0,0,28.36,250,0,0,17904,0,0.07303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:22.4867336,4,0,142.72,0.0078,0,0,28.37,250,0,0,17904,0,0.07043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:22.7729647,4,0,142.67,0,0,0,28.39,250,0,0,17904,0,0.06801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:23.0272883,4,0,142.67,0,0,0,28.38,250,0,0,17904,0,0.06573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:23.3125210,4,0,142.72,0,0,0,28.39,250,0,0,17904,0,0.06348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:23.5838177,4,0,142.72,0,0,0,28.35,250,0,0,17904,0,0.06129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:23.8666722,4,0,142.67,0,0,0,28.36,250,0,0,17904,0,0.05913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:24.1199410,4,0,142.67,0,0,0,28.34,250,0,0,17904,0,0.05714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:24.4052089,4,0,142.72,0.0078,0,0,28.35,250,0,0,17904,0,0.05518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:24.6754915,4,0,142.67,0.0078,0,0,28.34,250,0,0,17904,0,0.05328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:24.9596948,4,0,142.67,0.0078,0,0,28.34,250,0,0,17904,0,0.05139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:25.2310007,4,0,142.72,0,0,0,28.38,250,0,0,17904,0,0.04962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:25.5012481,4,0,142.67,0,0,0,28.34,250,0,0,17904,0,0.04787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:25.7695602,4,0,142.72,0,0,0,28.39,250,0,0,17904,0,0.04633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:26.0388420,4,0,142.72,0,0,0,28.37,250,0,0,17896,0,0.04468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:26.3081317,4,0,142.67,0.0078,0,0,28.39,250,0,0,17880,0,0.04323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:26.5774025,4,0,142.67,0.0078,0,0,28.38,250,0,0,17704,0,0.04169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:26.8473098,4,0,142.72,0.1484,0,0,28.34,250,0,0,15872,0,0.04007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:27.1285284,4,0,142.67,0.0938,0,0,28.37,250,0,0,15112,0,0.03851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:27.3998265,4,0,142.72,0.0469,0,0,28.36,250,0,0,15144,0,0.03723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:27.6697140,4,0,142.72,0.0312,0,0,28.37,250,0,0,15368,0,0.03592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:27.9551053,4,0,142.67,0.0234,0,0,28.38,250,0,0,15448,0,0.03468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:28.2243857,4,0,142.67,0.0234,0,0,28.37,250,0,0,15568,0,0.03348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:28.4926676,4,0,142.72,0.0078,0,0,28.37,250,0,0,15544,0,0.03239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:28.7629139,4,0,142.67,0.0078,0,0,28.36,250,0,0,15552,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:29.0312249,4,0,142.72,0.0078,0,0,28.39,250,0,0,15568,0,0.03024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:29.3025272,4,0,142.72,0.0078,0,0,28.38,250,0,0,15592,0,0.02917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:29.5863576,4,0,142.67,0.0156,0,0,28.35,250,0,0,15800,0,0.0282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:29.8562526,4,0,142.67,0.0156,0,0,28.34,250,0,0,15912,0,0.02722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:30.1404982,4,0,142.72,0.0156,0,0,28.39,250,0,0,15992,0,0.02629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:30.4237980,4,0,142.72,0.0078,0,0,28.39,250,0,0,16072,0,0.02538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:30.6930725,4,0,142.61,0.0078,0,0,28.39,250,0,0,16080,0,0.02452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:30.9773090,4,0,142.72,0.0078,0,0,28.39,250,0,0,16048,0,0.02364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:31.2481671,4,0,142.72,0.0078,0,0,28.38,250,0,0,15928,0,0.0228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:31.5314281,4,0,142.67,0.0078,0,0,28.39,250,0,0,15992,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:31.8036673,4,0,142.72,0.0156,0,0,28.39,250,0,0,15896,0,0.02124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:32.0859343,4,0,142.67,0.0156,0,0,28.39,250,0,0,15608,0,0.02045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:32.3572108,4,0,142.67,0.0156,0,0,28.39,250,0,0,15600,0,0.01974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:32.6264582,4,0,142.67,0.0078,0,0,28.39,250,0,0,15584,0,0.01904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:32.8779701,4,0,142.67,0.0078,0,0,28.39,250,0,0,15584,0,0.01843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:33.1602135,4,0,142.61,0.0078,0,0,28.4,250,0,0,15584,0,0.01781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:33.4314597,4,0,142.67,0.0078,0,0,28.39,250,0,0,15576,0,0.01718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:33.7157313,4,0,142.67,0.0078,0,0,28.39,250,0,0,15576,0,0.01659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:33.9850125,4,0,142.61,0,0,0,28.39,250,0,0,15576,0,0.01601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:34.2702480,4,0,142.67,0,0,0,28.39,250,0,0,15576,0,0.01546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:34.5518956,4,0,142.72,0,0,0,28.39,250,0,0,15576,0,0.01491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:34.8231692,4,0,142.61,0.0078,0,0,28.39,250,0,0,15576,0,0.01439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:35.1064098,4,0,142.61,0,0,0,28.38,250,0,0,15576,0,0.01389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:35.3776851,4,0,142.72,0.0078,0,0,28.39,250,0,0,15576,0,0.01341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:35.6609281,4,0,142.72,0.0156,0,0,28.4,250,0,0,15752,0,0.01295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:35.9298164,4,0,142.77,0.0234,0,0,28.39,250,0,0,15680,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:36.2156508,4,0,142.72,0.0078,0,0,28.39,250,0,0,15624,0,0.01205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:36.4869295,4,0,142.67,0.0156,0,0,28.39,250,0,0,15824,0,0.01167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:36.7701750,4,0,142.67,0.0156,0,0,28.39,250,0,0,15640,0,0.01123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:37.0234914,4,0,142.67,0.0078,0,0,28.39,250,0,0,15624,0,0.01085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:37.3077018,4,0,142.72,0,0,0,28.39,250,0,0,15624,0,0.01048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:37.5620499,4,0,142.67,0.0078,0,0,28.39,250,0,0,15624,0,0.01013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:37.8472897,4,0,142.72,0,0,0,28.39,250,0,0,15624,0,0.00978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:38.1165690,4,0,142.67,0,0,0,28.39,250,0,0,15624,0,0.00946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:38.4018090,4,0,142.67,0,0,0,28.39,250,0,0,15632,0,0.00912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:38.6880435,4,0,142.72,0.0078,0,0,28.39,250,0,0,15648,0,0.00879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:38.9698225,4,0,142.67,0.0078,0,0,28.38,250,0,0,15648,0,0.00848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:39.2237692,4,0,142.72,0,0,0,28.38,250,0,0,15648,0,0.00819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_13:54:39.5101508,2,65,143.95,3.1562,0.3438,0.0488,28.38,250,0,274,15536,0,0.01367,0,0,0,0,0,0,0,0,3.11,3.64,12.2344,14.0156,24,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
