time,EngineState,MotorSpeed,Bus_U,Is,Bus_I,BUS_P,MotorTemp,InvTemp,PCodeActive,EthtDeg,EncPos,Enc485Err,IqFbk,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
9-24_14:42:55.3997884,3,2461,141.92,7.5,9.1016,1.3027,48.14,250,0,129,54119,0,0.31035,0,0,0,0,0,0,0,0,142.55,55.36,6.9688,8.2812,68,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:42:55.6707037,3,2447,143.2,7.5078,9.0625,1.2939,48.25,250,0,242,11264,0,0.31,0,0,0,0,0,0,0,0,142.55,54.19,7.6484,8.8516,68,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:42:55.9549267,3,2438,143.41,7.4922,9.0391,1.291,48.41,250,0,273,8151,0,0.30965,0,0,0,0,0,0,0,0,142.55,56.7,7.8828,9.3359,68,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:42:56.2072491,3,2428,141.83,7.5156,9.0391,1.2832,48.52,250,0,125,54640,0,0.3093,0,0,0,0,0,0,0,0,142.53,54.56,7.8359,9.5859,68,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:42:56.4934814,3,2439,143.36,7.5625,9.0625,1.2842,48.66,250,0,297,6111,0,0.30914,0,0,0,0,0,0,0,0,142.53,54.67,8.1328,9.3203,68,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:42:56.7463720,3,2413,142.17,7.6328,9.1016,1.292,48.77,250,0,161,50992,0,0.30884,0,0,0,0,0,0,0,0,142.53,53.5,8.4219,10.0156,68,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:42:57.0312413,3,2425,141.92,7.8516,9.2578,1.3252,48.88,250,0,51,61120,0,0.30894,0,0,0,0,0,0,0,0,142.53,51.84,8.0234,8.7266,68,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:42:57.2994910,3,2422,143.25,7.8125,9.2734,1.3184,48.97,250,0,247,43207,0,0.30923,0,0,0,0,0,0,0,0,142.53,53.02,7.9062,10.0156,68,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:42:57.5687887,3,2417,141.97,7.9609,9.4219,1.3359,49.07,250,0,134,20776,0,0.30989,0,0,0,0,0,0,0,0,142.53,51.95,7.5938,9.8984,69,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:42:57.8370534,3,2456,143.02,7.8516,9.4141,1.3477,49.15,250,0,323,3768,0,0.31001,0,0,0,0,0,0,0,0,142.55,53.09,7.0547,8.9766,68,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:42:58.1063800,3,2463,143.25,7.7109,9.3125,1.3232,49.27,250,0,304,5688,0,0.30974,0,0,0,0,0,0,0,0,142.55,55.58,7.2656,8.2812,68,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_14:42:58.3766580,3,2447,142.81,7.6016,9.2188,1.3076,49.35,250,0,351,832,0,0.30948,0,0,0,0,0,0,0,0,142.53,56.22,8.1562,9.625,68,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
