time,EngineState,MotorSpeed,Bus_U,Is,Bus_I,BUS_P,MotorTemp,InvTemp,PCodeActive,EthtDeg,EncPos,Enc485Err,IqFbk,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
9-24_16:01:59.0441503,4,0,144.69,0.0312,0.0078,0.001,32.27,250,0,0,51319,14,0.00749,0,0,0,0,0,0,0,0,26.75,0,12.3203,0,0,15,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_16:01:59.3159208,4,0,144.64,0.0391,0.0078,0.001,32.27,250,0,0,51479,14,0.00729,0,0,0,0,0,0,0,0,26.75,0,12.3203,0,0,15,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_16:01:59.5862315,4,0,144.64,0.0391,0.0078,0.001,32.2,250,0,0,51519,14,0.0071,0,0,0,0,0,0,0,0,26.75,0,12.3203,0,0,15,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_16:01:59.8575158,4,0,144.64,0.0312,0.0078,0.001,32.16,250,0,0,51511,14,0.00688,0,0,0,0,0,0,0,0,26.75,0,12.3203,0,0,15,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_16:02:00.1267534,4,0,144.69,0.0312,0.0078,0.001,32.16,250,0,0,51519,14,0.00668,0,0,0,0,0,0,0,0,26.75,0,12.3203,0,0,15,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_16:02:00.4090277,4,0,144.64,0.0469,0.0078,0.001,32.13,250,0,0,51183,14,0.00645,0,0,0,0,0,0,0,0,26.75,0,12.3203,0,0,15,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_16:02:00.6968704,4,0,144.69,0.1172,0.0156,0.002,32.07,250,0,0,49519,14,0.00604,0,0,0,0,0,0,0,0,26.75,0,12.3203,0,0,15,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_16:02:00.9661448,2,56,145.47,3.1719,0.3594,0.0527,32.05,250,0,297,46271,14,0.01035,0,0,0,0,0,0,0,0,26.36,2.91,12.5625,12.6094,18,14,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_16:02:01.2349581,2,215,143.7,8.3984,1.2344,0.1797,32.03,250,0,152,55879,14,0.02655,0,0,0,0,0,0,0,0,27.08,7.8,12.5234,17.1328,64,21,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_16:02:01.5062429,2,389,144.98,11.0312,2.2656,0.3291,32,250,0,216,49791,14,0.04353,0,0,0,0,0,0,0,0,30.2,8.8,12.6016,21.0859,75,36,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
