time,EngineState,MotorSpeed,Bat,Ie,Power,MotorTemp,InvTemp,PCodeActive,EthtDeg,EncPos,Enc485Err,IqFbk,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
9-24_11:54:10.7859087,4,0,142.56,0,0,32.23,250,0,0,28648,0,0.00034,0,0,0,0,0,0,0,0,26.34,0,12.3203,0,0,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_11:54:11.0402622,4,0,142.67,0,0,32.22,250,0,0,28648,0,0.00032,0,0,0,0,0,0,0,0,26.34,0,12.3203,0,0,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_11:54:11.3264630,4,0,142.67,0,0,32.21,250,0,0,28648,0,0.00032,0,0,0,0,0,0,0,0,26.34,0,12.3203,0,0,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_11:54:11.5957744,4,0,142.67,0,0,32.21,250,0,0,28648,0,0.00031,0,0,0,0,0,0,0,0,26.34,0,12.3203,0,0,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_11:54:11.8796162,4,0,142.56,0,0,32.16,250,0,0,28648,0,0.00029,0,0,0,0,0,0,0,0,26.34,0,12.3203,0,0,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_11:54:12.1608980,4,0,142.61,0,0,32.16,250,0,0,28640,0,0.00029,0,0,0,0,0,0,0,0,26.34,0,12.3203,0,0,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_11:54:12.4321789,4,0,142.56,0,0,32.17,250,0,0,28640,0,0.00027,0,0,0,0,0,0,0,0,26.34,0,12.3203,0,0,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_11:54:12.7014491,4,0,142.56,0,0,32.16,250,0,0,28640,0,0.00026,0,0,0,0,0,0,0,0,26.34,0,12.3203,0,0,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_11:54:12.9547718,4,0,142.56,0,0,32.16,250,0,0,28640,0,0.00026,0,0,0,0,0,0,0,0,26.34,0,12.3203,0,0,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_11:54:13.2370191,4,0,142.61,0,0,32.12,250,0,0,28640,0,0.00024,0,0,0,0,0,0,0,0,26.34,0,12.3203,0,0,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9-24_11:54:13.5062688,4,0,142.61,0,0,32.11,250,0,0,28640,0,0.00023,0,0,0,0,0,0,0,0,26.34,0,12.3203,0,0,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
